_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65b323e311c8b786c0dcbf05|true|104.27|100|104.27|94.06|49,0,0,0|words|10|-1|8|5.64|0|26.45|false|false|english|none|normal|false|false|false||1706238947000
65b323b711c8b786c0dcbda2||93.35|100|93.35|59.65|47,0,0,0|words|10|-1|2|6.04|0|4|false|false|english|none|normal|false|false|false||1706238903000
65b323a811c8b786c0dcbd29||87.14|97.96|87.14|74.01|48,0,0,0|words|10|-1|3|6.61|0|8.99|false|false|english|none|normal|false|false|false||1706238888000
65b3239411c8b786c0dcbca2||86.1|98.28|86.1|80.38|57,0,0,0|words|10|-1|4|7.94|0|13.12|false|false|english|none|normal|false|false|false||1706238868000
65b3237211c8b786c0dcbb9b|true|98.6|100|98.6|91.67|48,0,0,0|words|10|-1|0|5.84|0|0|false|false|english|none|normal|false|false|false||1706238834000
65b3236a11c8b786c0dcbb5b||85.89|100|85.89|61.64|51,0,0,0|words|10|-1|3|7.13|0|10.61|false|false|english|none|normal|false|false|false||1706238826000
65b3234f11c8b786c0dcba9c|true|97.06|100|97.06|85.49|48,0,0,0|words|10|-1|3|5.93|0|9.71|false|false|english|none|normal|false|false|false||1706238799000
65b3231d11c8b786c0dcb908|true|78.59|97.52|78.59|71.87|393,0,0,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1706238749000
65b322c211c8b786c0dcb609|true|73.4|95.95|73.4|72.78|734,0,0,0|time|120|-1|2|120.01|0|5.03|false|false|english|none|normal|false|false|false||1706238658000
65b3222511c8b786c0dcb130||76.79|96.12|82.39|82.47|96,2,1,0|time|15|-1|1|15|0|0.23|false|false|english|none|normal|false|false|false||1706238501000
65b3221211c8b786c0dcb091||83.15|99.05|83.15|81.93|104,0,0,0|time|15|-1|1|15.01|0|9.5|false|false|english|none|normal|false|false|false||1706238482000
65b321f411c8b786c0dcafa6||70.36|95.65|70.36|69.72|88,0,0,0|time|15|-1|4|15.01|0|13.82|false|false|english|none|normal|false|false|false||1706238452000
65b321ce11c8b786c0dcae7c||78.34|94.34|83.14|77.8|98,2,1,0|time|15|-1|2|15.01|0|3.56|false|false|english|none|normal|false|false|false||1706238414000
65b2f65111c8b786c0db6265|true|92.68|100|92.68|84.01|116,0,0,0|time|15|-1|0|15.02|0|0|false|false|english|none|normal|false|false|false||1706227281000
65b2f64011c8b786c0db61e6||82.38|97.17|82.38|81.04|103,0,0,0|time|15|-1|2|15|0|3.45|false|false|english|none|normal|false|false|false||1706227264000
65b2f62911c8b786c0db612b||88.78|100|88.78|81.67|111,0,0,0|time|15|-1|8|15|0|43.94|false|false|english|none|normal|false|false|false||1706227241000
65b2bf7411c8b786c0d95190||75.99|96.19|83.19|75.53|95,1,0,1|time|15|-1|1|15|0|10.34|false|false|english|none|normal|false|false|false||1706213236000
65b2bf5711c8b786c0d95028||83.98|97.3|87.18|76.96|105,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1706213207000
65b1534a11c8b786c0c97eb5||79.98|97.22|84.78|77.21|100,1,0,1|time|15|-1|2|15|0|2.01|false|false|english|none|normal|false|false|false||1706120010000
65b1533011c8b786c0c97d54||71.98|97.89|75.98|58.19|90,2,0,0|time|15|-1|11|15|0|51.65|false|false|english|none|normal|false|false|false||1706119984000
65b152d811c8b786c0c9784a||81.59|98.08|81.59|83.8|102,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1706119896000
65b152c511c8b786c0c97742||88.73|100|88.73|87.13|111,0,0,0|time|15|-1|7|15.01|0|22.57|false|false|english|none|normal|false|false|false||1706119877000
65b13d9011c8b786c0c82ecd||86.39|100|86.39|87.37|108,0,0,0|time|15|-1|2|15|0|13.63|false|false|english|none|normal|false|false|false||1706114448000
65b13d6e11c8b786c0c82cb0||87.18|99.12|90.38|77.33|109,1,0,0|time|15|-1|2|15|0|16.5|false|false|english|none|normal|false|false|false||1706114414000
65b139ca11c8b786c0c7f3ef|true|89.58|98.25|89.58|74.67|112,0,0,0|time|15|-1|1|15|0|3.83|false|false|english|none|normal|false|false|false||1706113482000
65b139b411c8b786c0c7f295||71.98|96|79.18|78.32|90,1,1,0|time|15|-1|5|15|0|39.49|false|false|english|none|normal|false|false|false||1706113460000
65b09d21ae13999a0658eb2a||78.33|97.14|83.12|87.22|98,1,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1706073377000
